crop_id,q3_area_mu,q2_area_mu,area_change_mu
2,1191.0998757977197,1168.2047846889952,22.8950911087245
3,475.55792071788176,448.6842105263158,26.873710191565976
4,696.5962389844902,669.2,27.396238984490196
5,228.01988431547818,194.17523324424343,33.84465107123475
6,1595.1250833125582,1636.2173871821733,-41.09230386961508
7,1201.234824334414,1256.9837594392475,-55.748935104833436
8,1315.4104501855581,1253.5723684210527,61.83808176450543
9,363.3538006670764,421.6949546849301,-58.34115401785368
10,173.88081489165188,167.35263157894738,6.528183312704499
11,187.76707615269876,190.06842105263158,-2.3013448999328148
12,81.9,81.89999999999999,1.4210854715202004e-14
13,114.54545454545455,133.1462491814631,-18.60079463600856
14,19.50857609495735,22.8,-3.2914239050426524
17,196.548,166.6,29.948000000000008
18,51.052,59.6,-8.548000000000002
19,7.280000000000005,22.8,-15.519999999999996
22,8.4,8.4,0.0
29,598.2290909090909,603.0181818181818,-4.7890909090908735
32,2.2909090909090892,3.381818181818182,-1.0909090909090926
35,210.0,300.0,-90.0
36,449.0,375.0,74.0
37,104.0,88.0,16.0
38,54.6,54.48,0.12000000000000455
40,12.6,12.719999999999999,-0.11999999999999922
