year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,2,2.8540962333908704
2024,单季,A1,平旱地,5,67.4790201555931
2024,单季,A1,平旱地,7,9.666883611016026
2024,单季,A2,平旱地,5,52.822190553758986
2024,单季,A2,平旱地,14,2.177809446241015
2024,单季,A3,平旱地,1,3.3643174574804213
2024,单季,A3,平旱地,8,28.52966148462789
2024,单季,A3,平旱地,9,3.106021057891685
2024,单季,A4,平旱地,10,1.565909295359123
2024,单季,A4,平旱地,11,69.63175111930842
2024,单季,A4,平旱地,12,0.8023395853324545
2024,单季,A5,平旱地,6,15.500675989783787
2024,单季,A5,平旱地,15,52.49932401021621
2024,单季,A6,平旱地,1,16.689227579716757
2024,单季,A6,平旱地,11,37.22974474270653
2024,单季,A6,平旱地,13,1.081027677576711
2024,单季,B1,梯田,3,60.0
2024,单季,B10,梯田,3,25.0
2024,单季,B11,梯田,4,60.0
2024,单季,B12,梯田,11,45.0
2024,单季,B13,梯田,3,35.0
2024,单季,B14,梯田,11,20.0
2024,单季,B2,梯田,4,46.0
2024,单季,B3,梯田,11,40.0
2024,单季,B4,梯田,11,28.0
2024,单季,B5,梯田,3,25.0
2024,单季,B6,梯田,4,86.0
2024,单季,B7,梯田,11,55.0
2024,单季,B8,梯田,15,44.0
2024,单季,B9,梯田,11,50.0
2024,单季,C1,山坡地,4,15.0
2024,单季,C2,山坡地,4,13.0
2024,单季,C3,山坡地,5,15.0
2024,单季,C4,山坡地,4,18.0
2024,单季,C5,山坡地,11,27.0
2024,单季,C6,山坡地,4,20.0
2024,第一季,D1,水浇地,16,15.0
2024,第一季,D2,水浇地,16,10.0
2024,第一季,D3,水浇地,16,14.0
2024,第一季,D4,水浇地,16,6.0
2024,第一季,D5,水浇地,16,10.0
2024,第一季,D6,水浇地,16,12.0
2024,第一季,D7,水浇地,18,22.0
2024,第二季,D7,水浇地,35,9.990522005170462
2024,第二季,D7,水浇地,36,12.009477994829538
2024,第一季,D8,水浇地,34,20.0
2024,第二季,D8,水浇地,36,16.00137178679247
2024,第二季,D8,水浇地,37,3.9986282132075335
2024,第一季,E1,普通大棚,34,0.6
2024,第二季,E1,普通大棚,39,0.6
2024,第一季,E10,普通大棚,34,0.6
2024,第二季,E10,普通大棚,39,0.6
2024,第一季,E11,普通大棚,34,0.6
2024,第二季,E11,普通大棚,40,0.6
2024,第一季,E12,普通大棚,34,0.6
2024,第二季,E12,普通大棚,39,0.6
2024,第一季,E13,普通大棚,31,0.032809762938641684
2024,第一季,E13,普通大棚,34,0.5671902370613583
2024,第二季,E13,普通大棚,39,0.6
2024,第一季,E14,普通大棚,34,0.6
2024,第二季,E14,普通大棚,39,0.6
2024,第一季,E15,普通大棚,18,0.6
2024,第二季,E15,普通大棚,39,0.6
2024,第一季,E16,普通大棚,34,0.6
2024,第二季,E16,普通大棚,39,0.6
2024,第一季,E2,普通大棚,34,0.6
2024,第二季,E2,普通大棚,39,0.6
2024,第一季,E3,普通大棚,23,0.015159557356600576
2024,第一季,E3,普通大棚,34,0.5848404426433994
2024,第二季,E3,普通大棚,39,0.6
2024,第一季,E4,普通大棚,34,0.6
2024,第二季,E4,普通大棚,39,0.6
2024,第一季,E5,普通大棚,34,0.6
2024,第二季,E5,普通大棚,39,0.6
2024,第一季,E6,普通大棚,34,0.6
2024,第二季,E6,普通大棚,38,0.4538369643309891
2024,第二季,E6,普通大棚,39,0.14616303566901093
2024,第一季,E7,普通大棚,34,0.6
2024,第二季,E7,普通大棚,39,0.6
2024,第一季,E8,普通大棚,34,0.6
2024,第二季,E8,普通大棚,41,0.6
2024,第一季,E9,普通大棚,34,0.6
2024,第二季,E9,普通大棚,41,0.6
2024,第一季,F1,智慧大棚,18,0.0213632627501628
2024,第一季,F1,智慧大棚,20,0.09518647534681325
2024,第一季,F1,智慧大棚,34,0.4834502619030239
2024,第二季,F1,智慧大棚,25,0.004266149333425534
2024,第二季,F1,智慧大棚,28,0.5419012849154238
2024,第二季,F1,智慧大棚,29,0.05383256575115067
2024,第一季,F2,智慧大棚,34,0.6
2024,第二季,F2,智慧大棚,19,0.2471764615262136
2024,第二季,F2,智慧大棚,22,0.3528235384737864
2024,第一季,F3,智慧大棚,21,0.6
2024,第二季,F3,智慧大棚,17,0.6
2024,第一季,F4,智慧大棚,20,0.6
2024,第二季,F4,智慧大棚,26,0.05555607087304515
2024,第二季,F4,智慧大棚,30,0.5444439291269548
2025,单季,A1,平旱地,3,78.43851888893268
2025,单季,A1,平旱地,10,1.561481111067323
2025,单季,A2,平旱地,1,9.439060687404982
2025,单季,A2,平旱地,4,29.256981043431754
2025,单季,A2,平旱地,6,16.303958269163264
2025,单季,A3,平旱地,5,31.63568254251958
2025,单季,A3,平旱地,13,1.1147883109374916
2025,单季,A3,平旱地,14,2.2495291465429297
2025,单季,A4,平旱地,2,2.7432635942897576
2025,单季,A4,平旱地,4,69.25673640571024
2025,单季,A5,平旱地,7,9.966747735242652
2025,单季,A5,平旱地,11,57.238803339064305
2025,单季,A5,平旱地,12,0.7944489256930432
2025,单季,A6,平旱地,8,51.921664224643294
2025,单季,A6,平旱地,9,3.0783357753567056
2025,单季,B1,梯田,11,60.0
2025,单季,B10,梯田,4,25.0
2025,单季,B11,梯田,15,60.0
2025,单季,B12,梯田,5,45.0
2025,单季,B13,梯田,11,35.0
2025,单季,B14,梯田,5,20.0
2025,单季,B2,梯田,3,46.0
2025,单季,B3,梯田,15,40.0
2025,单季,B4,梯田,5,28.0
2025,单季,B5,梯田,15,25.0
2025,单季,B6,梯田,11,86.0
2025,单季,B7,梯田,4,55.0
2025,单季,B8,梯田,5,44.0
2025,单季,B9,梯田,3,50.0
2025,单季,C1,山坡地,3,15.0
2025,单季,C2,山坡地,11,13.0
2025,单季,C3,山坡地,11,15.0
2025,单季,C4,山坡地,5,18.0
2025,单季,C5,山坡地,3,27.0
2025,单季,C6,山坡地,11,20.0
2025,第一季,D1,水浇地,16,15.0
2025,第一季,D2,水浇地,16,10.0
2025,第一季,D3,水浇地,18,14.0
2025,第二季,D3,水浇地,36,14.0
2025,第一季,D4,水浇地,18,6.0
2025,第二季,D4,水浇地,35,0.07513405834805109
2025,第二季,D4,水浇地,36,5.924865941651949
2025,第一季,D5,水浇地,18,10.0
2025,第二季,D5,水浇地,35,10.0
2025,第一季,D6,水浇地,18,12.0
2025,第二季,D6,水浇地,36,2.3340754439303453
2025,第二季,D6,水浇地,37,9.665924556069655
2025,第一季,D7,水浇地,16,22.0
2025,第一季,D8,水浇地,18,20.0
2025,第二季,D8,水浇地,37,20.0
2025,第一季,E1,普通大棚,18,0.6
2025,第二季,E1,普通大棚,39,0.6
2025,第一季,E10,普通大棚,18,0.6
2025,第二季,E10,普通大棚,41,0.6
2025,第一季,E11,普通大棚,18,0.6
2025,第二季,E11,普通大棚,39,0.6
2025,第一季,E12,普通大棚,18,0.6
2025,第二季,E12,普通大棚,39,0.6
2025,第一季,E13,普通大棚,18,0.6
2025,第二季,E13,普通大棚,39,0.6
2025,第一季,E14,普通大棚,18,0.6
2025,第二季,E14,普通大棚,39,0.6
2025,第一季,E15,普通大棚,34,0.6
2025,第二季,E15,普通大棚,39,0.6
2025,第一季,E16,普通大棚,18,0.6
2025,第二季,E16,普通大棚,39,0.6
2025,第一季,E2,普通大棚,31,0.03283178829591317
2025,第一季,E2,普通大棚,34,0.5671682117040868
2025,第二季,E2,普通大棚,39,0.6
2025,第一季,E3,普通大棚,18,0.5682422227897519
2025,第一季,E3,普通大棚,23,0.015287059869259132
2025,第一季,E3,普通大棚,33,0.016470717340988976
2025,第二季,E3,普通大棚,39,0.6
2025,第一季,E4,普通大棚,18,0.6
2025,第二季,E4,普通大棚,40,0.6
2025,第一季,E5,普通大棚,18,0.6
