year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,1,80.0
2024,单季,A2,平旱地,2,55.0
2024,单季,A3,平旱地,3,35.0
2024,单季,A4,平旱地,5,72.0
2024,单季,A5,平旱地,1,68.0
2024,单季,A6,平旱地,1,55.0
2024,单季,B1,梯田,2,60.0
2024,单季,B10,梯田,1,25.0
2024,单季,B11,梯田,2,60.0
2024,单季,B12,梯田,3,45.0
2024,单季,B13,梯田,4,35.0
2024,单季,B14,梯田,5,20.0
2024,单季,B2,梯田,5,46.0
2024,单季,B3,梯田,1,40.0
2024,单季,B4,梯田,2,28.0
2024,单季,B5,梯田,3,25.0
2024,单季,B6,梯田,2,86.0
2024,单季,B7,梯田,3,55.0
2024,单季,B8,梯田,4,44.0
2024,单季,B9,梯田,5,50.0
2024,单季,C1,山坡地,1,15.0
2024,单季,C2,山坡地,2,13.0
2024,单季,C3,山坡地,4,15.0
2024,单季,C4,山坡地,4,18.0
2024,单季,C5,山坡地,5,27.0
2024,单季,C6,山坡地,2,20.0
2024,第一季,D1,水浇地,19,15.0
2024,第二季,D1,水浇地,35,15.0
2024,第一季,D2,水浇地,17,10.0
2024,第二季,D2,水浇地,36,10.0
2024,第一季,D3,水浇地,18,14.0
2024,第二季,D3,水浇地,37,14.0
2024,第一季,D4,水浇地,19,6.0
2024,第二季,D4,水浇地,35,6.0
2024,第一季,D5,水浇地,17,10.0
2024,第二季,D5,水浇地,36,10.0
2024,第一季,D6,水浇地,18,12.0
2024,第二季,D6,水浇地,37,12.0
2024,第一季,D7,水浇地,19,22.0
2024,第二季,D7,水浇地,35,22.0
2024,第一季,D8,水浇地,17,20.0
2024,第二季,D8,水浇地,36,20.0
2024,第一季,E1,普通大棚,18,0.6
2024,第二季,E1,普通大棚,41,0.6
2024,第一季,E10,普通大棚,18,0.6
2024,第二季,E10,普通大棚,38,0.6
2024,第一季,E11,普通大棚,19,0.6
2024,第二季,E11,普通大棚,39,0.6
2024,第一季,E12,普通大棚,17,0.6
2024,第二季,E12,普通大棚,40,0.6
2024,第一季,E13,普通大棚,18,0.6
2024,第二季,E13,普通大棚,41,0.6
2024,第一季,E14,普通大棚,19,0.6
2024,第二季,E14,普通大棚,38,0.6
2024,第一季,E15,普通大棚,17,0.6
2024,第二季,E15,普通大棚,39,0.6
2024,第一季,E16,普通大棚,18,0.6
2024,第二季,E16,普通大棚,40,0.6
2024,第一季,E2,普通大棚,19,0.6
2024,第二季,E2,普通大棚,38,0.6
2024,第一季,E3,普通大棚,17,0.6
2024,第二季,E3,普通大棚,39,0.6
2024,第一季,E4,普通大棚,18,0.6
2024,第二季,E4,普通大棚,40,0.6
2024,第一季,E5,普通大棚,19,0.6
2024,第二季,E5,普通大棚,41,0.6
2024,第一季,E6,普通大棚,17,0.6
2024,第二季,E6,普通大棚,38,0.6
2024,第一季,E7,普通大棚,18,0.6
2024,第二季,E7,普通大棚,39,0.6
2024,第一季,E8,普通大棚,19,0.6
2024,第二季,E8,普通大棚,40,0.6
2024,第一季,E9,普通大棚,17,0.6
2024,第二季,E9,普通大棚,41,0.6
2024,第一季,F1,智慧大棚,19,0.6
2024,第二季,F1,智慧大棚,17,0.6
2024,第一季,F2,智慧大棚,17,0.6
2024,第二季,F2,智慧大棚,19,0.6
2024,第一季,F3,智慧大棚,18,0.6
2024,第二季,F3,智慧大棚,20,0.6
2024,第一季,F4,智慧大棚,19,0.6
2024,第二季,F4,智慧大棚,21,0.6
2025,单季,A1,平旱地,3,80.0
2025,单季,A2,平旱地,4,55.0
2025,单季,A3,平旱地,5,35.0
2025,单季,A4,平旱地,6,72.0
2025,单季,A5,平旱地,7,68.0
2025,单季,A6,平旱地,8,55.0
2025,单季,B1,梯田,9,60.0
2025,单季,B10,梯田,4,25.0
2025,单季,B11,梯田,5,60.0
2025,单季,B12,梯田,6,45.0
2025,单季,B13,梯田,7,35.0
2025,单季,B14,梯田,8,20.0
2025,单季,B2,梯田,10,46.0
2025,单季,B3,梯田,11,40.0
2025,单季,B4,梯田,12,28.0
2025,单季,B5,梯田,13,25.0
2025,单季,B6,梯田,14,86.0
2025,单季,B7,梯田,15,55.0
2025,单季,B8,梯田,1,44.0
2025,单季,B9,梯田,2,50.0
2025,单季,C1,山坡地,9,15.0
2025,单季,C2,山坡地,10,13.0
2025,单季,C3,山坡地,11,15.0
2025,单季,C4,山坡地,12,18.0
2025,单季,C5,山坡地,13,27.0
2025,单季,C6,山坡地,14,20.0
2025,第一季,D1,水浇地,24,15.0
2025,第二季,D1,水浇地,36,15.0
2025,第一季,D2,水浇地,25,10.0
2025,第二季,D2,水浇地,37,10.0
2025,第一季,D3,水浇地,26,14.0
2025,第二季,D3,水浇地,35,14.0
2025,第一季,D4,水浇地,27,6.0
2025,第二季,D4,水浇地,36,6.0
2025,第一季,D5,水浇地,28,10.0
2025,第二季,D5,水浇地,37,10.0
2025,第一季,D6,水浇地,29,12.0
2025,第二季,D6,水浇地,35,12.0
2025,第一季,D7,水浇地,30,22.0
2025,第二季,D7,水浇地,36,22.0
2025,第一季,D8,水浇地,31,20.0
2025,第二季,D8,水浇地,37,20.0
2025,第一季,E1,普通大棚,34,0.6
2025,第二季,E1,普通大棚,38,0.6
2025,第一季,E10,普通大棚,25,0.6
2025,第二季,E10,普通大棚,39,0.6
2025,第一季,E11,普通大棚,26,0.6
2025,第二季,E11,普通大棚,40,0.6
2025,第一季,E12,普通大棚,27,0.6
2025,第二季,E12,普通大棚,41,0.6
2025,第一季,E13,普通大棚,28,0.6
2025,第二季,E13,普通大棚,38,0.6
2025,第一季,E14,普通大棚,29,0.6
2025,第二季,E14,普通大棚,39,0.6
2025,第一季,E15,普通大棚,30,0.6
2025,第二季,E15,普通大棚,40,0.6
2025,第一季,E16,普通大棚,31,0.6
2025,第二季,E16,普通大棚,41,0.6
2025,第一季,E2,普通大棚,17,0.6
2025,第二季,E2,普通大棚,39,0.6
2025,第一季,E3,普通大棚,18,0.6
2025,第二季,E3,普通大棚,40,0.6
2025,第一季,E4,普通大棚,19,0.6
2025,第二季,E4,普通大棚,41,0.6
2025,第一季,E5,普通大棚,20,0.6
2025,第二季,E5,普通大棚,38,0.6
2025,第一季,E6,普通大棚,21,0.6
