year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,7,77.75
2024,单季,A1,平旱地,13,2.25
2024,单季,A2,平旱地,4,43.3
2024,单季,A2,平旱地,12,11.7
2024,单季,A3,平旱地,6,35.0
2024,单季,A4,平旱地,6,57.88636363636364
2024,单季,A4,平旱地,13,14.113636363636363
2024,单季,A5,平旱地,6,68.0
2024,单季,A6,平旱地,7,55.0
2024,单季,B1,梯田,1,60.0
2024,单季,B10,梯田,2,25.0
2024,单季,B11,梯田,6,60.0
2024,单季,B12,梯田,9,45.0
2024,单季,B13,梯田,3,8.947368421052632
2024,单季,B13,梯田,5,26.05263157894737
2024,单季,B14,梯田,2,20.0
2024,单季,B2,梯田,8,46.0
2024,单季,B3,梯田,8,40.0
2024,单季,B4,梯田,8,28.0
2024,单季,B5,梯田,10,25.0
2024,单季,B6,梯田,1,86.0
2024,单季,B7,梯田,2,1.0
2024,单季,B7,梯田,8,54.0
2024,单季,B8,梯田,14,44.0
2024,单季,B9,梯田,3,50.0
2024,单季,C1,山坡地,4,15.0
2024,单季,C2,山坡地,4,13.0
2024,单季,C3,山坡地,4,15.0
2024,单季,C4,山坡地,15,18.0
2024,单季,C5,山坡地,4,27.0
2024,单季,C6,山坡地,11,20.0
2024,第一季,D1,水浇地,16,15.0
2024,第一季,D2,水浇地,19,2.16
2024,第一季,D2,水浇地,26,1.0945945945945947
2024,第一季,D2,水浇地,28,6.745405405405405
2024,第二季,D2,水浇地,36,10.0
2024,第一季,D3,水浇地,18,13.304878048780488
2024,第一季,D3,水浇地,30,0.6951219512195121
2024,第二季,D3,水浇地,35,14.0
2024,第一季,D4,水浇地,24,1.2979054054054062
2024,第一季,D4,水浇地,28,4.3420945945945935
2024,第一季,D4,水浇地,33,0.36
2024,第二季,D4,水浇地,37,6.0
2024,第一季,D5,水浇地,16,10.0
2024,第一季,D6,水浇地,16,12.0
2024,第一季,D7,水浇地,20,15.0
2024,第一季,D7,水浇地,25,1.0909090909090908
2024,第一季,D7,水浇地,27,5.909090909090909
2024,第二季,D7,水浇地,36,22.0
2024,第一季,D8,水浇地,17,12.16
2024,第一季,D8,水浇地,18,7.84
2024,第二季,D8,水浇地,35,20.0
2024,第一季,E1,普通大棚,22,0.6
2024,第二季,E1,普通大棚,40,0.6
2024,第一季,E10,普通大棚,21,0.6
2024,第二季,E10,普通大棚,38,0.6
2024,第一季,E11,普通大棚,21,0.6
2024,第二季,E11,普通大棚,41,0.6
2024,第一季,E12,普通大棚,22,0.6
2024,第二季,E12,普通大棚,38,0.6
2024,第一季,E13,普通大棚,22,0.6
2024,第二季,E13,普通大棚,39,0.6
2024,第一季,E14,普通大棚,31,0.6
2024,第二季,E14,普通大棚,41,0.6
2024,第一季,E15,普通大棚,22,0.6
2024,第二季,E15,普通大棚,41,0.6
2024,第一季,E16,普通大棚,21,0.6
2024,第二季,E16,普通大棚,38,0.6
2024,第一季,E2,普通大棚,21,0.6
2024,第二季,E2,普通大棚,39,0.6
2024,第一季,E3,普通大棚,21,0.6
2024,第二季,E3,普通大棚,40,0.6
2024,第一季,E4,普通大棚,22,0.6
2024,第二季,E4,普通大棚,39,0.6
2024,第一季,E5,普通大棚,21,0.6
2024,第二季,E5,普通大棚,41,0.6
2024,第一季,E6,普通大棚,22,0.6
2024,第二季,E6,普通大棚,41,0.6
2024,第一季,E7,普通大棚,21,0.6
2024,第二季,E7,普通大棚,40,0.6
2024,第一季,E8,普通大棚,22,0.6
2024,第二季,E8,普通大棚,41,0.6
2024,第一季,E9,普通大棚,21,0.6
2024,第二季,E9,普通大棚,41,0.6
2024,第一季,F1,智慧大棚,22,0.6
2024,第二季,F1,智慧大棚,29,0.6
2024,第一季,F2,智慧大棚,21,0.6
2024,第二季,F2,智慧大棚,22,0.6
2024,第一季,F3,智慧大棚,21,0.6
2024,第二季,F3,智慧大棚,29,0.3666666666666668
2024,第二季,F3,智慧大棚,32,0.2333333333333332
2024,第一季,F4,智慧大棚,21,0.6
2024,第二季,F4,智慧大棚,22,0.5060606060606059
2024,第二季,F4,智慧大棚,32,0.0939393939393941
2025,单季,A1,平旱地,1,36.3
2025,单季,A1,平旱地,2,43.7
2025,单季,A2,平旱地,1,38.63636363636363
2025,单季,A2,平旱地,13,16.363636363636367
2025,单季,A3,平旱地,1,35.0
2025,单季,A4,平旱地,7,72.0
2025,单季,A5,平旱地,7,56.3
2025,单季,A5,平旱地,12,11.700000000000003
2025,单季,A6,平旱地,4,55.0
2025,单季,B1,梯田,6,60.0
2025,单季,B10,梯田,8,25.0
2025,单季,B11,梯田,8,30.0
2025,单季,B11,梯田,9,30.0
2025,单季,B12,梯田,3,14.947368421052628
2025,单季,B12,梯田,4,30.052631578947373
2025,单季,B13,梯田,6,35.0
2025,单季,B14,梯田,9,20.0
2025,单季,B2,梯田,6,46.0
2025,单季,B3,梯田,6,40.0
2025,单季,B4,梯田,14,28.0
2025,单季,B5,梯田,8,25.0
2025,单季,B6,梯田,5,86.0
2025,单季,B7,梯田,1,55.0
2025,单季,B8,梯田,3,44.0
2025,单季,B9,梯田,8,50.0
2025,单季,C1,山坡地,8,15.0
2025,单季,C2,山坡地,11,13.0
2025,单季,C3,山坡地,10,13.0
2025,单季,C3,山坡地,11,2.0
2025,单季,C4,山坡地,4,18.0
2025,单季,C5,山坡地,10,13.31578947368421
2025,单季,C5,山坡地,15,13.68421052631579
2025,单季,C6,山坡地,4,20.0
2025,第一季,D1,水浇地,18,15.0
2025,第二季,D1,水浇地,37,15.0
2025,第一季,D2,水浇地,17,10.0
2025,第二季,D2,水浇地,35,10.0
